pwsid,pwsname,fips,location_state_name,location_state_abbrev,primacytype,primacyagency,eparegion,primarysource,populationservedcount,serviceconnectionscount,pwstype
"AL0000098","ALLGOOD WATER WORKS (TOWN OF)",1009,"Alabama","AL","State","Alabama","Region 4","Ground water",846,282,"Community water system"
"AL0000100","BLOUNTSVILLE UTILITIES BOARD",1009,"Alabama","AL","State","Alabama","Region 4","Ground water",4266,1422,"Community water system"
"AL0000101","CLEVELAND WATER WORKS",1009,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3384,1128,"Community water system"
"AL0000102","HAYDEN WATER WORKS",1009,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2418,819,"Community water system"
"AL0000103","ONEONTA UTILITIES BOARD",1009,"Alabama","AL","State","Alabama","Region 4","Surface water",19200,6600,"Community water system"
"AL0000104","PINE BLUFF WATER  AUTHORITY",1009,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",6099,2022,"Community water system"
"AL0000108","SNEAD WATER WORKS",1009,"Alabama","AL","State","Alabama","Region 4","Ground water",5310,1770,"Community water system"
"AL0000116","MIDWAY WATER WORKS",1011,"Alabama","AL","State","Alabama","Region 4","Ground water",1050,266,"Community water system"
"AL0000117","SOUTH BULLOCK COUNTY WATER AUTHORITY",1011,"Alabama","AL","State","Alabama","Region 4","Ground water",8601,2825,"Community water system"
"AL0000118","UNION SPRINGS UTIL BOARD",1011,"Alabama","AL","State","Alabama","Region 4","Ground water",4335,1426,"Community water system"
"AL0000122","NECTAR WATER SYSTEM",1009,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2985,995,"Community water system"
"AL0000123","GEORGIANA WATER WORKS & SEWER BOARD",1013,"Alabama","AL","State","Alabama","Region 4","Ground water",2793,920,"Community water system"
"AL0000125","GREENVILLE WATER WORKS",1013,"Alabama","AL","State","Alabama","Region 4","Ground water",9290,3123,"Community water system"
"AL0000128","MCKENZIE WATER BOARD",1013,"Alabama","AL","State","Alabama","Region 4","Ground water",1170,392,"Community water system"
"AL0000131","CALHOUN COUNTY WATER & FIRE PR AUTHORITY",1015,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",30810,10270,"Community water system"
"AL0000133","ANNISTON WATER & SEWER BOARD",1015,"Alabama","AL","State","Alabama","Region 4","Surface water",56700,18900,"Community water system"
"AL0000149","HOBSON CITY WATER SYSTEM",1015,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",741,247,"Community water system"
"AL0000154","JACKSONVILLE UTILITIES",1015,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",13884,4628,"Community water system"
"AL0000161","OHATCHEE WATER SYSTEM",1015,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1425,502,"Community water system"
"AL0000162","OXFORD WATER WORKS & SEWER BOARD",1015,"Alabama","AL","State","Alabama","Region 4","Surface water",27141,9794,"Community water system"
"AL0000164","PIEDMONT UTILITIES BOARD",1015,"Alabama","AL","State","Alabama","Region 4","Surface water",8184,2728,"Community water system"
"AL0000168","WEAVER WATER SYSTEM",1015,"Alabama","AL","State","Alabama","Region 4","Ground water",6480,2160,"Community water system"
"AL0000174","EAST ALABAMA WATER & FIRE PRO DISTRICT",1017,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",18000,6000,"Community water system"
"AL0000177","HUGULEY WATER AUTHORITY",1017,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",6900,2300,"Community water system"
"AL0000178","LAFAYETTE WATER WORKS",1017,"Alabama","AL","State","Alabama","Region 4","Surface water",4380,1460,"Community water system"
"AL0000179","LANETT WATER WORKS",1017,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",8076,2439,"Community water system"
"AL0000180","BEULAH UTILITIES DISTRICT",1017,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",9120,3040,"Community water system"
"AL0000187","CEDAR BLUFF UTILITIES BOARD",1019,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3858,1286,"Community water system"
"AL0000188","CENTRE WATER & SEWER BOARD",1019,"Alabama","AL","State","Alabama","Region 4","Surface water",6108,2200,"Community water system"
"AL0000189","CHEROKEE COUNTY WATER AUTHORITY",1019,"Alabama","AL","State","Alabama","Region 4","Ground water",10740,3580,"Community water system"
"AL0000213","CLANTON WATER DEPARTMENT",1021,"Alabama","AL","State","Alabama","Region 4","Surface water",13500,4500,"Community water system"
"AL0000219","JEMISON WATER WORKS",1021,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",4065,1355,"Community water system"
"AL0000221","MAPLESVILLE WATER WORKS",1021,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1062,354,"Community water system"
"AL0000229","THORSBY WATER WORKS BOARD",1021,"Alabama","AL","State","Alabama","Region 4","Ground water",3465,1124,"Community water system"
"AL0000232","BUTLER WATER SYSTEM",1023,"Alabama","AL","State","Alabama","Region 4","Ground water",4395,1465,"Community water system"
"AL0000233","CHOCTAW-EDNA WATER AUTHORITY, INC.",1023,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",894,290,"Community water system"
"AL0000234","CHILTON WATER AUTHORITY",1021,"Alabama","AL","State","Alabama","Region 4","Ground water",8680,8516,"Community water system"
"AL0000237","GILBERTOWN (UTILITIES BOARD OF TOWN OF)",1023,"Alabama","AL","State","Alabama","Region 4","Ground water",6300,2693,"Community water system"
"AL0000243","NORTH CHOCTAW WATER & SEWER AUTHORITY",1023,"Alabama","AL","State","Alabama","Region 4","Ground water",3552,1184,"Community water system"
"AL0000244","PENNINGTON (UTILITIES BOARD OF)",1023,"Alabama","AL","State","Alabama","Region 4","Ground water",1206,350,"Community water system"
"AL0000245","HOLLINS WATER AUTHORITY",1027,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1302,441,"Community water system"
"AL0000252","COFFEEVILLE WATER WORKS (TOWN OF)",1025,"Alabama","AL","State","Alabama","Region 4","Ground water",1104,910,"Community water system"
"AL0000254","FULTON (UTILITIES BOARD OF THE TOWN OF)",1025,"Alabama","AL","State","Alabama","Region 4","Ground water",510,178,"Community water system"
"AL0000255","GROVE HILL WATER WORKS",1025,"Alabama","AL","State","Alabama","Region 4","Ground water",3450,1250,"Community water system"
"AL0000256","JACKSON WATER WORKS & SEWER BOARD",1025,"Alabama","AL","State","Alabama","Region 4","Surface water",8283,3250,"Community water system"
"AL0000257","OLD LINE WATER SYSTEM",1025,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3768,1715,"Community water system"
"AL0000258","MCVAY WATER SYSTEM",1025,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1482,494,"Community water system"
"AL0000259","MID CLARKE WATER SYSTEM",1025,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1500,500,"Community water system"
"AL0000262","THOMASVILLE WATER WORKS & SEWER BOARD",1025,"Alabama","AL","State","Alabama","Region 4","Surface water",6897,2299,"Community water system"
"AL0000264","ASHLAND WATER & SEWER BOARD",1027,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2925,975,"Community water system"
"AL0000266","CLAY COUNTY WATER AUTHORITY",1027,"Alabama","AL","State","Alabama","Region 4","Surface water",1719,573,"Community water system"
"AL0000268","LINEVILLE WATER WORKS BOARD",1027,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3126,1042,"Community water system"
"AL0000270","MILLERVILLE WATER & FIRE PRO AUTHORITY",1027,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1500,500,"Community water system"
"AL0000277","EDWARDSVILLE WATER & FIRE PRO AUTHORITY",1029,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",540,180,"Community water system"
"AL0000279","HEFLIN WATER WORKS",1029,"Alabama","AL","State","Alabama","Region 4","Surface water",3621,1425,"Community water system"
"AL0000283","RANBURNE WATER & SEWER DEPARTMENT",1029,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1920,640,"Community water system"
"AL0000295","ELBA WATER WORKS",1031,"Alabama","AL","State","Alabama","Region 4","Ground water",5868,1956,"Community water system"
"AL0000296","ENTERPRISE WATER WORKS",1031,"Alabama","AL","State","Alabama","Region 4","Ground water",38500,14000,"Community water system"
"AL0000298","JACK WATER SYSTEM, INC",1031,"Alabama","AL","State","Alabama","Region 4","Ground water",1305,435,"Community water system"
"AL0000299","KINSTON WATER WORKS",1031,"Alabama","AL","State","Alabama","Region 4","Ground water",2028,676,"Community water system"
"AL0000302","NEW BROCKTON WATER DEPARTMENT",1031,"Alabama","AL","State","Alabama","Region 4","Ground water",3297,1099,"Community water system"
"AL0000311","CHEROKEE WATER & GAS DEPARTMENT",1033,"Alabama","AL","State","Alabama","Region 4","Surface water",2250,750,"Community water system"
"AL0000314","COLBERT COUNTY RURAL WATER SYSTEM",1033,"Alabama","AL","State","Alabama","Region 4","Surface water",10731,3577,"Community water system"
"AL0000316","HAWK PRIDE MT WATER SYSTEM",1033,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",4035,1345,"Community water system"
"AL0000318","LAGRANGE MOUNTAIN WATER AUTHORITY",1033,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1164,388,"Community water system"
"AL0000319","LEIGHTON (WSB OF THE TOWN OF)",1033,"Alabama","AL","State","Alabama","Region 4","Ground water",1206,402,"Community water system"
"AL0000320","LITTLEVILLE WATERWORKS",1059,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3549,1179,"Community water system"
"AL0000321","MUSCLE SHOALS UTILITY BOARD",1033,"Alabama","AL","State","Alabama","Region 4","Surface water",18303,6101,"Community water system"
"AL0000327","SHEFFIELD UTILITIES DEPARTMENT",1033,"Alabama","AL","State","Alabama","Region 4","Surface water",14574,4810,"Community water system"
"AL0000329","SPRING VALLEY WATER AUTHORITY",1033,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",5013,1720,"Community water system"
"AL0000331","TUSCUMBIA WATER WORKS",1033,"Alabama","AL","State","Alabama","Region 4","Surface water",13338,4446,"Community water system"
"AL0000337","CASTLEBERRY WATER SYSTEM",1035,"Alabama","AL","State","Alabama","Region 4","Ground water",1086,365,"Community water system"
"AL0000338","EVERGREEN WATER WORKS",1035,"Alabama","AL","State","Alabama","Region 4","Ground water",5112,1650,"Community water system"
"AL0000339","FAIRVIEW WATER SYSTEM (CONECUH)",1035,"Alabama","AL","State","Alabama","Region 4","Ground water",891,325,"Community water system"
"AL0000341","LYEFFION WATER AND FIRE PRO AUTHORITY",1035,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",1419,500,"Community water system"
"AL0000344","REPTON WATER WORKS",1035,"Alabama","AL","State","Alabama","Region 4","Ground water",507,170,"Community water system"
"AL0000351","GOODWATER WTR WORKS & SEWER BD (CITY OF)",1037,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2640,860,"Community water system"
"AL0000352","KELLYTON WATER SYSTEM",1037,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2010,652,"Community water system"
"AL0000353","ROCKFORD WATER WORKS",1037,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2043,681,"Community water system"
"AL0000354","STEWARTVILLE WATER AUTHORITY",1121,"Alabama","AL","State","Alabama","Region 4","Ground water",4803,1617,"Community water system"
"AL0000356","ANDALUSIA (UTILITIES BOARD OF)",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",28314,5038,"Community water system"
"AL0000361","COVINGTON COUNTY WATER AUTHORITY",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",13224,4408,"Community water system"
"AL0000363","FLORALA WATER WORKS & SEWER BOARD",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",3834,1278,"Community water system"
"AL0000364","GANTT WATER SYSTEM",1039,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",825,275,"Community water system"
"AL0000372","LOCKHART WATER WORKS",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",720,240,"Community water system"
"AL0000375","OPP UTILITIES BOARD",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",9975,3325,"Community water system"
"AL0000378","RED LEVEL WATER WORKS",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",846,282,"Community water system"
"AL0000379","RIVER FALLS WATER SYSTEM",1039,"Alabama","AL","State","Alabama","Region 4","Ground water",1011,337,"Community water system"
"AL0000385","BRANTLEY WATER WORKS",1041,"Alabama","AL","State","Alabama","Region 4","Ground water",1485,487,"Community water system"
"AL0000387","DOZIER WATER WORKS",1041,"Alabama","AL","State","Alabama","Region 4","Ground water",597,167,"Community water system"
"AL0000390","LUVERNE WATER & SEWER DEPARTMENT",1041,"Alabama","AL","State","Alabama","Region 4","Ground water",3660,1289,"Community water system"
"AL0000392","RUTLEDGE WATER WORKS",1041,"Alabama","AL","State","Alabama","Region 4","Ground water",882,272,"Community water system"
"AL0000393","OWASSA-BROWNSVILLE WATER AUTHORITY",1035,"Alabama","AL","State","Alabama","Region 4","Ground water",3540,1100,"Community water system"
"AL0000394","CULLMAN COUNTY WATER DEPARTMENT",1043,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",47658,16220,"Community water system"
"AL0000397","SOUTH CRENSHAW COUNTY WATER AUTHORITY",1041,"Alabama","AL","State","Alabama","Region 4","Ground water",5490,1850,"Community water system"
"AL0000402","EAST CULLMAN WATER SYSTEM",1043,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",11781,3927,"Community water system"
"AL0000404","GARDEN CITY WATER DEPARTMENT",1043,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",831,277,"Community water system"
"AL0000406","HANCEVILLE (THE WWSB OF THE CITY OF)",1043,"Alabama","AL","State","Alabama","Region 4","Ground water",5754,1918,"Community water system"
"AL0000408","JOHNSONS CROSSING WATER SYSTEM",1001,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",2943,993,"Community water system"
"AL0000409","JOPPA, HULACO & RYAN WATER AUTHORITY",1103,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",4692,1578,"Community water system"
"AL0000413","V.A.W. WATER SYSTEM, INC",1043,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",29985,5009,"Community water system"
"AL0000414","WALTER WATER AUTHORITY",1043,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1224,408,"Community water system"
"AL0000415","DALE COUNTY WATER AUTHORITY",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",7932,2644,"Community water system"
"AL0000416","ARITON WATER WORKS",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",1161,387,"Community water system"
"AL0000420","DALEVILLE WATER & SEWER BOARD",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",9492,3164,"Community water system"
"AL0000436","LEVEL PLAINS WATER SYSTEM",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",3630,1210,"Community water system"
"AL0000438","MIDLAND CITY WATER DEPARTMENT",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",2880,960,"Community water system"
"AL0000439","NEWTON WATER WORKS BOARD",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",2190,730,"Community water system"
"AL0000441","OZARK UTILITIES BOARD",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",14907,6528,"Community water system"
"AL0000443","PINCKARD WATER DEPARTMENT",1045,"Alabama","AL","State","Alabama","Region 4","Ground water",1410,470,"Community water system"
"AL0000463","DALLAS COUNTY WATER & SEWER AUTHORITY",1047,"Alabama","AL","State","Alabama","Region 4","Ground water",5292,1558,"Community water system"
"AL0000482","NORTH DALLAS WATER AUTHORITY",1047,"Alabama","AL","State","Alabama","Region 4","Ground water",8316,2880,"Community water system"
"AL0000490","SELMA WATER WORKS & SEWER BOARD",1047,"Alabama","AL","State","Alabama","Region 4","Ground water",24039,7925,"Community water system"
"AL0000491","WEST DALLAS CO WATER AUTHORITY",1047,"Alabama","AL","State","Alabama","Region 4","Ground water",2898,1410,"Community water system"
"AL0000500","SOUTH DALLAS WATER AUTHORITY",1047,"Alabama","AL","State","Alabama","Region 4","Ground water",3669,1205,"Community water system"
"AL0000506","COLLINSVILLE WATER WORKS",1049,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3900,1300,"Community water system"
"AL0000508","CROSSVILLE WATER BOARD",1049,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1998,666,"Community water system"
"AL0000509","FORT PAYNE WATER WORKS BOARD",1049,"Alabama","AL","State","Alabama","Region 4","Surface water",21363,7572,"Community water system"
"AL0000515","MENTONE, WATER WKS BOARD OF THE TOWN OF",1049,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1980,695,"Community water system"
"AL0000523","VALLEY HEAD WATER WORKS BOARD",1049,"Alabama","AL","State","Alabama","Region 4","Ground water",2928,976,"Community water system"
"AL0000533","ECLECTIC WATER WORKS & SEWER BOARD",1051,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",8961,1519,"Community water system"
"AL0000535","ELMORE WATER & SEWER AUTHORITY",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",12690,4170,"Community water system"
"AL0000537","FRIENDSHIP WATER WORKS",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",3723,1252,"Community water system"
"AL0000539","MILLBROOK UTILITIES",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",4503,1581,"Community water system"
"AL0000540","HOLTVILLE WATER SYSTEM",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",7566,2690,"Community water system"
"AL0000547","CENTRAL ELMORE WATER AUTHORITY",1051,"Alabama","AL","State","Alabama","Region 4","Surface water",32877,10959,"Community water system"
"AL0000548","TALLASSEE WATER WORKS",1123,"Alabama","AL","State","Alabama","Region 4","Surface water",7500,2500,"Community water system"
"AL0000549","TRI COMMUNITY WATER SYSTEM",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",10935,3709,"Community water system"
"AL0000551","WETUMPKA WATER WORKS & SEWER BOARD",1051,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",9684,3240,"Community water system"
"AL0000553","WEST ESCAMBIA UTILITIES INC.",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",12060,4020,"Community water system"
"AL0000555","BREWTON WATER WORKS",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",9756,3315,"Community water system"
"AL0000556","RIDGE ROAD WATER AUTHORITY",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",1761,587,"Community water system"
"AL0000558","EAST BREWTON WATER & SEWER BOARD",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",3120,1030,"Community water system"
"AL0000559","FLOMATON WATER WORKS",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",2493,831,"Community water system"
"AL0000561","FREEMANVILLE WATER SYSTEM",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",3384,1120,"Community water system"
"AL0000563","ESCAMBIA COMMUNITY UTILITIES LLC",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",500,500,"Community water system"
"AL0000566","MCCALL WATER SYSTEM INC",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",7500,2500,"Community water system"
"AL0000570","RIVERVIEW WATER WORKS",1053,"Alabama","AL","State","Alabama","Region 4","Ground water",846,282,"Community water system"
"AL0000571","ALTOONA WATER & SEWER SERVICE",1009,"Alabama","AL","State","Alabama","Region 4","Ground water",1143,381,"Community water system"
"AL0000572","ATTALLA WATER WORKS BOARD",1055,"Alabama","AL","State","Alabama","Region 4","Groundwater under influence of surface water",8400,2800,"Community water system"
"AL0000573","WHORTON BEND WATER & FIRE PRO AUTHORITY",1055,"Alabama","AL","State","Alabama","Region 4","Surface water purchased",1890,713,"Community water system"
"AL0000575","FORDS VALLEY & HWY 278 WATER",1015,"Alabama","AL","State","Alabama","Region 4","Ground water purchased",5532,1844,"Community water system"
"AL0000577","GADSDEN WATER WORKS AND SEWER BOARD",1055,"Alabama","AL","State","Alabama","Region 4","Surface water",44637,14879,"Community water system"
"AL0000578","GLENCOE WATER WORKS BOARD",1055,"Alabama","AL","State","Alabama","Region 4","Ground water",6450,2150,"Community water system"
